candidate_id,rank,score,reasoning
CAND_0018499,1,0.982245,"13/17 AI-core skills; AI-relevant title (Senior Machine Learning Engineer); 7.2 yrs YOE; response rate 61%, interview 80%, open to work; tier-1 institution; India (Noida, Uttar Pradesh)"
CAND_0081846,2,0.980537,"14/18 AI-core skills; AI-relevant title (Lead AI Engineer); 6.7 yrs YOE; response rate 73%, interview 94%, open to work; tier-1 institution; India (Jaipur, Rajasthan)"
CAND_0079387,3,0.974257,"12/20 AI-core skills; AI-relevant title (AI Engineer); 6.9 yrs YOE; response rate 81%, interview 90%, open to work; tier-1 institution; India (Trivandrum, Kerala)"
CAND_0077337,4,0.966902,"11/20 AI-core skills; AI-relevant title (Staff Machine Learning Engineer); 7.0 yrs YOE; response rate 95%, interview 73%, open to work; tier-1 institution; India (Kochi, Kerala)"
CAND_0004402,5,0.966433,"12/16 AI-core skills; AI-relevant title (AI Research Engineer); 6.0 yrs YOE; response rate 83%, interview 60%, open to work; tier-1 institution; India (Delhi, Delhi)"
CAND_0028793,6,0.965365,"10/15 AI-core skills; AI-relevant title (Search Engineer); 7.2 yrs YOE; response rate 57%, interview 70%, open to work; tier-1 institution; India (Trivandrum, Kerala)"
CAND_0086154,7,0.963262,"8/13 AI-core skills; AI-relevant title (Data Scientist); 6.8 yrs YOE; response rate 90%, interview 90%, open to work; tier-2 institution; India (Ahmedabad, Gujarat)"
CAND_0052682,8,0.961478,"9/15 AI-core skills; AI-relevant title (NLP Engineer); 6.6 yrs YOE; response rate 88%, interview 88%, open to work; tier-1 institution; India (Vizag, Andhra Pradesh)"
CAND_0071974,9,0.956787,"14/19 AI-core skills; AI-relevant title (Senior AI Engineer); 7.8 yrs YOE; response rate 76%, interview 85%, open to work; tier-1 institution; India (Vizag, Andhra Pradesh)"
CAND_0046525,10,0.956013,"11/17 AI-core skills; AI-relevant title (Senior Machine Learning Engineer); 6.1 yrs YOE; response rate 88%, interview 81%, open to work; tier-1 institution; India (Pune, Maharashtra)"
CAND_0094482,11,0.955848,"7/11 AI-core skills; AI-relevant title (Junior ML Engineer); 6.4 yrs YOE; response rate 85%, interview 81%, open to work; tier-1 institution; Singapore"
CAND_0010257,12,0.953824,"10/15 AI-core skills; AI-relevant title (Senior Data Scientist); 6.5 yrs YOE; response rate 72%, interview 92%, open to work; tier-2 institution; India (Noida, Uttar Pradesh)"
CAND_0062247,13,0.950466,"13/17 AI-core skills; AI-relevant title (AI Engineer); 7.3 yrs YOE; response rate 78%, interview 84%, open to work; tier-1 institution; India (Kochi, Kerala)"
CAND_0033179,14,0.950164,"9/16 AI-core skills; AI-relevant title (AI Research Engineer); 6.9 yrs YOE; response rate 84%, interview 66%, open to work; India (Ahmedabad, Gujarat)"
CAND_0002025,15,0.947808,"14/20 AI-core skills; AI-relevant title (Senior AI Engineer); 5.9 yrs YOE; response rate 80%, interview 81%, open to work; tier-1 institution; India (Trivandrum, Kerala)"
CAND_0083307,16,0.946975,"14/18 AI-core skills; AI-relevant title (Search Engineer); 7.8 yrs YOE; response rate 70%, interview 83%, open to work; tier-2 institution; India (Vizag, Andhra Pradesh)"
CAND_0007412,17,0.946256,"9/12 AI-core skills; AI-relevant title (Applied ML Engineer); 7.4 yrs YOE; response rate 76%, interview 88%, open to work; tier-1 institution; India (Noida, Uttar Pradesh)"
CAND_0074735,18,0.946151,"15/20 AI-core skills; AI-relevant title (Applied ML Engineer); 5.5 yrs YOE; response rate 77%, interview 78%, open to work; tier-1 institution; India (Chandigarh, Chandigarh)"
CAND_0010149,19,0.943812,"10/15 AI-core skills; AI-relevant title (ML Engineer); 6.9 yrs YOE; response rate 82%, interview 60%, open to work; tier-1 institution; India (Bangalore, Karnataka)"
CAND_0058688,20,0.943491,"12/17 AI-core skills; AI-relevant title (AI Engineer); 6.7 yrs YOE; response rate 74%, interview 96%, open to work; tier-1 institution; Germany"
CAND_0008425,21,0.942437,"12/17 AI-core skills; AI-relevant title (Senior NLP Engineer); 7.8 yrs YOE; response rate 66%, interview 77%, open to work; tier-1 institution; India (Kolkata, West Bengal)"
CAND_0075249,22,0.942347,"9/14 AI-core skills; AI-relevant title (Applied ML Engineer); 6.2 yrs YOE; response rate 82%, interview 63%, open to work; tier-1 institution; India (Ahmedabad, Gujarat)"
